Datum	Cena/ks	Mìna	Výnos
12.05.2004	950,69	USD	-1,43%
11.05.2004	937,63	USD	-2,78%
10.05.2004	956,73	USD	-0,80%
07.05.2004	976,10	USD	1,21%
06.05.2004	994,47	USD	3,11%
05.05.2004	981,94	USD	1,81%
04.05.2004	992,97	USD	2,96%
03.05.2004	983,53	USD	1,98%
30.04.2004	1002,06	USD	3,90%
29.04.2004	1017,18	USD	5,47%
28.04.2004	1050,92	USD	8,97%
27.04.2004	1056,77	USD	9,57%
26.04.2004	997,85	USD	3,46%
23.04.2004	997,45	USD	3,42%
22.04.2004	981,15	USD	1,73%
21.04.2004	975,14	USD	1,11%
20.04.2004	993,16	USD	2,98%
19.04.2004	971,27	USD	0,71%
16.04.2004	962,97	USD	-0,15%
15.04.2004	961,44	USD	-0,31%
14.04.2004	959,82	USD	-0,48%
13.04.2004	982,63	USD	1,89%
08.04.2004	980,75	USD	1,69%
07.04.2004	984,44	USD	2,07%
06.04.2004	997,91	USD	3,47%
05.04.2004	986,44	USD	2,28%
02.04.2004	966,63	USD	0,23%
01.04.2004	953,67	USD	-1,12%
31.03.2004	954,30	USD	-1,05%
30.03.2004	951,84	USD	-1,31%
29.03.2004	932,09	USD	-3,35%
26.03.2004	940,27	USD	-2,51%
25.03.2004	920,60	USD	-4,55%
24.03.2004	918,41	USD	-4,77%
23.03.2004	928,77	USD	-3,70%
22.03.2004	952,40	USD	-1,25%
19.03.2004	956,86	USD	-0,79%
18.03.2004	955,35	USD	-0,94%
17.03.2004	933,55	USD	-3,20%
16.03.2004	936,01	USD	-2,95%
15.03.2004	961,17	USD	-0,34%
12.03.2004	947,58	USD	-1,75%
11.03.2004	960,92	USD	-0,36%
10.03.2004	979,36	USD	1,55%
09.03.2004	990,35	USD	2,69%
08.03.2004	1006,94	USD	4,41%
05.03.2004	997,62	USD	3,44%
04.03.2004	986,57	USD	2,29%
03.03.2004	978,75	USD	1,48%
02.03.2004	976,28	USD	1,23%
01.03.2004	971,90	USD	0,77%
27.02.2004	972,43	USD	0,83%
26.02.2004	960,07	USD	-0,45%
25.02.2004	951,12	USD	-1,38%
24.02.2004	953,29	USD	-1,16%
23.02.2004	964,44	USD	0,00%
