Datum	Cena/ks	Mìna	Výnos
12.05.2004	1693,05	CZK	1,21%
11.05.2004	1666,26	CZK	-0,39%
10.05.2004	1728,18	CZK	3,31%
07.05.2004	1758,90	CZK	5,15%
06.05.2004	1773,66	CZK	6,03%
05.05.2004	1786,09	CZK	6,78%
04.05.2004	1809,13	CZK	8,15%
03.05.2004	1807,12	CZK	8,03%
30.04.2004	1825,81	CZK	9,15%
29.04.2004	1853,87	CZK	10,83%
28.04.2004	1840,48	CZK	10,03%
27.04.2004	1829,64	CZK	9,38%
26.04.2004	1833,85	CZK	9,63%
23.04.2004	1835,67	CZK	9,74%
22.04.2004	1872,85	CZK	11,96%
21.04.2004	1870,37	CZK	11,81%
20.04.2004	1844,73	CZK	10,28%
19.04.2004	1845,87	CZK	10,35%
16.04.2004	1853,85	CZK	10,83%
15.04.2004	1845,88	CZK	10,35%
14.04.2004	1879,57	CZK	12,36%
13.04.2004	1862,29	CZK	11,33%
08.04.2004	1867,36	CZK	11,63%
07.04.2004	1855,93	CZK	10,95%
06.04.2004	1860,50	CZK	11,22%
05.04.2004	1844,82	CZK	10,29%
02.04.2004	1812,28	CZK	8,34%
01.04.2004	1814,09	CZK	8,45%
31.03.2004	1822,52	CZK	8,95%
30.03.2004	1803,84	CZK	7,84%
29.03.2004	1795,79	CZK	7,36%
26.03.2004	1797,42	CZK	7,45%
25.03.2004	1780,46	CZK	6,44%
24.03.2004	1782,45	CZK	6,56%
23.03.2004	1763,86	CZK	5,45%
22.03.2004	1780,38	CZK	6,43%
19.03.2004	1776,93	CZK	6,23%
18.03.2004	1782,67	CZK	6,57%
17.03.2004	1763,64	CZK	5,43%
16.03.2004	1769,29	CZK	5,77%
15.03.2004	1781,06	CZK	6,48%
12.03.2004	1775,39	CZK	6,14%
11.03.2004	1800,51	CZK	7,64%
10.03.2004	1799,09	CZK	7,55%
09.03.2004	1818,30	CZK	8,70%
08.03.2004	1776,65	CZK	6,21%
05.03.2004	1763,51	CZK	5,43%
04.03.2004	1745,99	CZK	4,38%
03.03.2004	1741,99	CZK	4,14%
02.03.2004	1724,54	CZK	3,10%
01.03.2004	1708,79	CZK	2,16%
27.02.2004	1682,58	CZK	0,59%
26.02.2004	1672,98	CZK	0,01%
25.02.2004	1657,26	CZK	-0,93%
24.02.2004	1670,81	CZK	-0,12%
23.02.2004	1672,74	CZK	0,00%
